阿 : a1
啊 : a5
哎 : ai1
哀 : ai1
唉 : ai1
埃 : ai1
挨 : ai1
癌 : ai2
矮 : ai3
艾 : ai4
爱 : ai4
碍 : ai4
安 : an1
氨 : an1
俺 : an3
岸 : an4
按 : an4
案 : an4
暗 : an4
昂 : ang2
凹 : ao1
熬 : ao2
傲 : ao4
奥 : ao4
澳 : ao4
八 : ba1
巴 : ba1
叭 : ba1
吧 : ba5
拔 : ba2
把 : ba3
坝 : ba4
爸 : ba4
罢 : ba4
霸 : ba4
白 : bai2
百 : bai3
柏 : bo2
摆 : bai3
败 : bai4
拜 : bai4
班 : ban1
般 : ban1
颁 : ban1
斑 : ban1
搬 : ban1
板 : ban3
版 : ban3
办 : ban4
半 : ban4
伴 : ban4
扮 : ban4
瓣 : ban4
邦 : bang1
帮 : bang1
膀 : bang3
傍 : bang4
棒 : bang4
包 : bao1
胞 : bao1
宝 : bao3
饱 : bao3
保 : bao3
堡 : bao3
报 : bao4
抱 : bao4
豹 : bao4
暴 : bao4
爆 : bao4
卑 : bei1
杯 : bei1
悲 : bei1
碑 : bei1
北 : bei3
贝 : bei4
备 : bei4
背 : bei4
倍 : bei4
被 : bei4
辈 : bei4
奔 : ben1
本 : ben3
崩 : beng1
逼 : bi1
鼻 : bi2
比 : bi3
彼 : bi3
笔 : bi3
币 : bi4
必 : bi4
毕 : bi4
闭 : bi4
辟 : pi4
碧 : bi4
蔽 : bi4
壁 : bi4
避 : bi4
臂 : bei5
边 : bian1
编 : bian1
蝙 : bian1
鞭 : bian1
扁 : bian3
便 : bian4
变 : bian4
遍 : bian4
辨 : bian4
辩 : bian4
标 : biao1
表 : biao3
别 : bie2
宾 : bin1
滨 : bin1
冰 : bing1
兵 : bing1
丙 : bing3
柄 : bing3
饼 : bing3
并 : bing4
病 : bing4
拨 : bo1
波 : bo1
玻 : bo1
剥 : bo1
播 : bo1
脖 : bo2
伯 : bo2
驳 : bo2
泊 : bo2
勃 : bo2
博 : bo2
搏 : bo2
膊 : bo2
薄 : bo2
卜 : bu3
补 : bu3
捕 : bu3
不 : bu4
布 : bu4
步 : bu4
部 : bu4
擦 : ca1
猜 : cai1
才 : cai2
材 : cai2
财 : cai2
裁 : cai2
采 : cai3
彩 : cai3
踩 : cai3
菜 : cai4
蔡 : cai4
参 : can1
餐 : can1
残 : can2
蚕 : can2
惨 : can3
灿 : can4
仓 : cang1
苍 : cang1
舱 : cang1
藏 : zang4
操 : cao1
曹 : cao2
槽 : cao2
草 : cao3
册 : ce4
侧 : ce4
测 : ce4
策 : ce4
层 : ceng2
叉 : cha1
插 : cha1
查 : cha2
茶 : cha2
察 : cha2
差 : cha1
拆 : chai1
柴 : chai2
缠 : chan2
产 : chan3
阐 : chan3
颤 : zhan4
昌 : chang1
长 : zhang3
肠 : chang2
尝 : chang2
偿 : chang2
常 : chang2
厂 : chang3
场 : chang3
畅 : chang4
倡 : chang4
唱 : chang4
抄 : chao1
超 : chao1
巢 : chao2
朝 : chao2
潮 : chao2
吵 : chao3
炒 : chao3
车 : che1
扯 : che3
彻 : che4
撤 : che4
尘 : chen2
臣 : chen2
沉 : chen2
陈 : chen2
闯 : chuang3
衬 : chen4
称 : cheng1
趁 : chen4
撑 : cheng1
成 : cheng2
呈 : cheng2
承 : cheng2
诚 : cheng2
城 : cheng2
乘 : cheng2
惩 : cheng2
程 : cheng2
橙 : cheng2
吃 : chi1
池 : chi2
驰 : chi2
迟 : chi2
持 : chi2
匙 : chi2
尺 : chi3
齿 : chi3
斥 : chi4
赤 : chi4
翅 : chi4
充 : chong1
冲 : chong1
虫 : chong2
崇 : chong2
抽 : chou1
仇 : chou2
绸 : chou2
愁 : chou2
筹 : chou2
酬 : chou2
丑 : chou3
瞅 : chou3
臭 : chou4
出 : chu1
初 : chu1
除 : chu2
厨 : chu2
础 : chu3
储 : chu3
楚 : chu3
处 : chu3
触 : chu4
川 : chuan1
穿 : chuan1
传 : chuan2
船 : chuan2
喘 : chuan3
串 : chuan4
窗 : chuang1
床 : chuang2
晨 : chen2
创 : chuang4
吹 : chui1
垂 : chui2
锤 : chui2
春 : chun1
纯 : chun2
唇 : chun2
醇 : chun2
词 : ci2
瓷 : ci2
慈 : ci2
辞 : ci2
磁 : ci2
雌 : ci2
此 : ci3
次 : ci4
刺 : ci4
从 : cong2
匆 : cong1
葱 : cong1
聪 : cong1
丛 : cong2
凑 : cou4
粗 : cu1
促 : cu4
催 : cui1
脆 : cui4
翠 : cui4
村 : cun1
存 : cun2
寸 : cun4
措 : cuo4
错 : cuo4
搭 : da1
达 : da2
答 : da2
打 : da3
大 : da4
呆 : dai1
代 : dai4
带 : dai4
待 : dai4
袋 : dai4
逮 : dai4
戴 : dai4
丹 : dan1
单 : dan1
担 : dan1
胆 : dan3
旦 : dan4
但 : dan4
诞 : dan4
弹 : dan4
淡 : dan4
蛋 : dan4
氮 : dan4
当 : dang1
挡 : dang3
党 : dang3
荡 : dang4
刀 : dao1
导 : dao3
岛 : dao3
倒 : dao3
蹈 : dao3
到 : dao4
盗 : dao4
道 : dao4
稻 : dao4
得 : de2
德 : de2
的 : de5
灯 : deng1
登 : deng1
等 : deng3
邓 : deng4
凳 : deng4
瞪 : deng4
低 : di1
堤 : di1
滴 : di1
迪 : di2
敌 : di2
笛 : di2
底 : di3
抵 : di3
地 : di4
弟 : di4
帝 : di4
递 : di4
第 : di4
颠 : dian1
典 : dian3
点 : dian3
电 : dian4
店 : dian4
垫 : dian4
淀 : dian4
殿 : dian4
雕 : diao1
吊 : diao4
钓 : diao4
调 : diao4
掉 : diao4
爹 : die1
跌 : die1
叠 : die2
蝶 : die2
丁 : ding1
叮 : ding1
盯 : ding1
钉 : ding1
顶 : ding3
订 : ding4
定 : ding4
丢 : diu1
东 : dong1
冬 : dong1
懂 : dong3
动 : dong4
冻 : dong4
洞 : dong4
都 : dou1
斗 : dou4
抖 : dou3
陡 : dou3
豆 : dou4
督 : du1
毒 : du2
读 : du2
独 : du2
堵 : du3
赌 : du3
杜 : du4
肚 : du4
度 : du4
渡 : du4
端 : duan1
短 : duan3
段 : duan4
断 : duan4
锻 : duan4
堆 : dui1
队 : dui4
对 : dui4
吨 : dun1
敦 : dun1
蹲 : dun1
盾 : dun4
顿 : dun4
多 : duo1
夺 : duo2
朵 : duo3
躲 : duo3
俄 : e2
鹅 : e2
额 : e2
恶 : e4
饿 : e4
鳄 : e4
恩 : en1
儿 : er2
而 : er2
尔 : er3
耳 : er3
二 : er4
发 : fa1
乏 : fa2
伐 : fa2
罚 : fa2
阀 : fa2
法 : fa3
帆 : fan1
番 : fan1
翻 : fan1
凡 : fan2
烦 : fan2
繁 : fan2
反 : fan3
返 : fan3
犯 : fan4
泛 : fan4
饭 : fan4
范 : fan4
贩 : fan4
方 : fang1
坊 : fang1
芳 : fang1
防 : fang2
妨 : fang2
房 : fang2
肪 : fang2
仿 : fang3
访 : fang3
纺 : fang3
放 : fang4
飞 : fei1
非 : fei1
啡 : fei1
菲 : fei1
肥 : fei2
废 : fei4
沸 : fei4
肺 : fei4
费 : fei4
分 : fen1
纷 : fen1
芬 : fen1
坟 : fen2
粉 : fen3
份 : fen4
奋 : fen4
愤 : fen4
粪 : fen4
丰 : feng1
风 : feng1
枫 : feng1
封 : feng1
疯 : feng1
峰 : feng1
锋 : feng1
蜂 : feng1
冯 : feng2
逢 : feng2
缝 : feng2
凤 : feng4
奉 : feng4
佛 : fo2
否 : fou3
夫 : fu1
肤 : fu1
孵 : fu1
弗 : fu2
伏 : fu2
扶 : fu2
服 : fu2
浮 : fu2
符 : fu2
幅 : fu2
福 : fu2
辐 : fu2
蝠 : fu2
抚 : fu3
府 : fu3
辅 : fu3
腐 : fu3
父 : fu4
付 : fu4
妇 : fu4
负 : fu4
附 : fu4
复 : fu4
赴 : fu4
副 : fu4
傅 : fu4
富 : fu4
赋 : fu4
腹 : fu4
覆 : fu4
该 : gai1
改 : gai3
钙 : gai4
盖 : gai4
溉 : gai4
概 : gai4
干 : gan1
甘 : gan1
杆 : gan1
肝 : gan1
赶 : gan3
敢 : gan3
感 : gan3
刚 : gang1
岗 : gang3
纲 : gang1
缸 : gang1
钢 : gang1
港 : gang3
高 : gao1
搞 : gao3
稿 : gao3
告 : gao4
戈 : ge1
哥 : ge1
胳 : ge1
鸽 : ge1
割 : ge1
歌 : ge1
阁 : ge2
革 : ge2
格 : ge2
葛 : ge3
隔 : ge2
个 : ge4
各 : ge4
给 : ji3
根 : gen1
跟 : gen1
更 : geng4
耕 : geng1
工 : gong1
弓 : gong1
公 : gong1
功 : gong1
攻 : gong1
供 : gong1
宫 : gong1
恭 : gong1
巩 : gong3
拱 : gong3
共 : gong4
贡 : gong4
勾 : gou1
沟 : gou1
钩 : gou1
狗 : gou3
构 : gou4
购 : gou4
够 : gou4
估 : gu1
咕 : gu1
姑 : gu1
孤 : gu1
菇 : gu1
古 : gu3
谷 : gu3
股 : gu3
骨 : gu2
鼓 : gu3
固 : gu4
故 : gu4
顾 : gu4
瓜 : gua1
刮 : gua1
挂 : gua4
拐 : guai3
怪 : guai4
关 : guan1
观 : guan1
官 : guan1
冠 : guan1
馆 : guan3
管 : guan3
贯 : guan4
惯 : guan4
灌 : guan4
罐 : guan4
光 : guang1
广 : guang3
归 : gui1
龟 : gui1
规 : gui1
硅 : gui1
轨 : gui3
鬼 : gui3
柜 : ju3
贵 : gui4
桂 : gui4
滚 : gun3
棍 : gun4
郭 : guo1
锅 : guo1
国 : guo2
果 : guo3
裹 : guo3
过 : guo4
哈 : ha1
孩 : hai2
海 : hai3
害 : hai4
含 : han2
函 : han2
寒 : han2
韩 : han2
罕 : han3
喊 : han3
汉 : han4
汗 : han4
旱 : han4
杭 : hang2
航 : hang2
毫 : hao2
豪 : hao2
好 : hao3
号 : hao4
浩 : hao4
耗 : hao4
呵 : he1
喝 : he1
合 : he2
何 : he2
和 : he2
河 : he2
核 : he2
荷 : he2
盒 : he2
贺 : he4
褐 : he4
赫 : he4
鹤 : he4
黑 : hei1
嘿 : hei1
痕 : hen2
很 : hen3
狠 : hen3
恨 : hen4
哼 : heng1
恒 : heng2
横 : heng2
衡 : heng2
轰 : hong1
哄 : hong1
红 : hong2
宏 : hong2
洪 : hong2
虹 : hong2
鸿 : hong2
侯 : hou4
喉 : hou2
猴 : hou2
吼 : hou3
后 : hou4
厚 : hou4
候 : hou4
乎 : hu1
呼 : hu1
忽 : hu1
狐 : hu2
胡 : hu2
壶 : hu2
湖 : hu2
葫 : hu2
糊 : hu2
蝴 : hu2
虎 : hu3
互 : hu4
户 : hu4
护 : hu4
花 : hua1
华 : hua2
哗 : hua1
滑 : hua2
化 : hua4
划 : hua4
画 : hua4
话 : hua4
桦 : hua4
怀 : huai2
淮 : huai2
坏 : huai4
欢 : huan1
还 : hai2
环 : huan2
缓 : huan3
幻 : huan4
唤 : huan4
换 : huan4
患 : huan4
荒 : huang1
慌 : huang1
皇 : huang2
黄 : huang2
煌 : huang2
晃 : huang3
灰 : hui1
恢 : hui1
挥 : hui1
辉 : hui1
徽 : hui1
回 : hui2
毁 : hui3
悔 : hui3
汇 : hui4
会 : hui4
绘 : hui4
惠 : hui4
慧 : hui4
昏 : hun1
婚 : hun1
浑 : hun2
魂 : hun2
混 : hun4
活 : huo2
火 : huo3
伙 : huo3
或 : huo4
货 : huo4
获 : huo4
祸 : huo4
惑 : huo4
霍 : huo4
击 : ji1
饥 : ji1
圾 : ji1
机 : ji1
肌 : ji1
鸡 : ji1
积 : ji1
基 : ji1
迹 : ji1
绩 : ji4
激 : ji1
及 : ji2
吉 : ji2
级 : ji2
即 : ji2
极 : ji2
急 : ji2
疾 : ji2
集 : ji2
辑 : ji2
籍 : ji2
几 : ji3
己 : ji3
挤 : ji3
脊 : ji3
计 : ji4
记 : ji4
纪 : ji4
忌 : ji4
技 : ji4
际 : ji4
剂 : ji4
季 : ji4
既 : ji4
济 : ji4
继 : ji4
寂 : ji4
寄 : ji4
加 : jia1
夹 : jia1
佳 : jia1
家 : jia1
嘉 : jia1
甲 : jia3
贾 : jia3
钾 : jia3
价 : jia4
驾 : jia4
架 : jia4
假 : jia3
嫁 : jia4
稼 : jia4
尖 : jian1
坚 : jian1
间 : jian1
肩 : jian1
艰 : jian1
兼 : jian1
监 : jian1
减 : jian3
剪 : jian3
检 : jian3
简 : jian3
碱 : jian3
见 : jian4
件 : jian4
建 : jian4
剑 : jian4
健 : jian4
舰 : jian4
渐 : jian4
践 : jian4
鉴 : jian4
键 : jian4
箭 : jian4
江 : jiang1
姜 : jiang1
将 : jiang1
浆 : jiang1
僵 : jiang1
疆 : jiang1
讲 : jiang3
奖 : jiang3
蒋 : jiang3
匠 : jiang4
降 : jiang4
交 : jiao1
郊 : jiao1
娇 : jiao1
浇 : jiao1
骄 : jiao1
胶 : jiao1
焦 : jiao1
礁 : jiao1
角 : jiao3
脚 : jiao3
搅 : jiao3
叫 : jiao4
轿 : jiao4
较 : jiao4
教 : jiao4
阶 : jie1
皆 : jie1
接 : jie1
揭 : jie1
街 : jie1
节 : jie2
劫 : jie2
杰 : jie2
洁 : jie2
结 : jie2
捷 : jie2
截 : jie2
竭 : jie2
姐 : jie3
解 : jie3
介 : jie4
戒 : jie4
