開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］

阿兵哥	阿兵哥	a1 bing1 ge1
吖啶	吖啶	a1 ding4
阿斗	阿斗	a1 dou3
阿飛	阿飞	a1 fei1
阿訇	阿訇	a1 hong1
阿摩尼亞	阿摩尼亚	a1 mo2 ni2 ya4
吖嗪	吖嗪	a1 qin2
啊呀	啊呀	a1 ya1
阿姨	阿姨	a1 yi2
哀悼	哀悼	ai1 dao4
哀弔	哀吊	ai1 diao4
哀號	哀号	ai1 hao2
挨戶	挨户	ai1 hu4
挨家	挨家	ai1 jia1
挨肩擦背	挨肩擦背	ai1 jian1 ca1 bei4
挨近	挨近	ai1 jin4
哀莫大於心死	哀莫大于心死	ai1 mo4 da4 yu2 xin1 si3
哀戚	哀戚	ai1 qi1
唉聲歎氣	唉声叹气	ai1 sheng1 tan4 qi4
哎呀	哎呀	ai1 ya5
哎喲	哎哟	ai1 yo5
捱打	挨打	ai2 da3
捱餓	挨饿	ai2 e4
捱擼	挨撸	ai2 lu1
捱罵	挨骂	ai2 ma4
捱罵受挫	挨骂受挫	ai2 ma4 shou4 cuo4
捱悶雷	挨闷雷	ai2 men4 lei2
捱日子	挨日子	ai2 ri4 zi5
癌症	癌症	ai2 zheng4
藹然可親	蔼然可亲	ai3 ran2 ke3 qin1
矮小	矮小	ai3 xiao3
艾草	艾草	ai4 cao3
愛戴	爱戴	ai4 dai4
靉靆	叆叇	ai4 dai4
愛撫	爱抚	ai4 fu3
愛國	爱国	ai4 guo2
愛國主義	爱国主义	ai4 guo2 zhu3 yi4
愛國主義者	爱国主义者	ai4 guo2 zhu3 yi4 zhe3
愛好	爱好	ai4 hao4
愛好者	爱好者	ai4 hao4 zhe3
愛護	爱护	ai4 hu4
愛護備至	爱护备至	ai4 hu4 bei4 zhi4
艾灸	艾灸	ai4 jiu3
曖昧	暧昧	ai4 mei4
愛面子	爱面子	ai4 mian4 zi5
愛莫能助	爱莫能助	ai4 mo4 neng2 zhu4
愛妾	爱妾	ai4 qie4
愛情	爱情	ai4 qing2
愛情小說	爱情小说	ai4 qing2 xiao3 shuo1
愛人	爱人	ai4 ren5
愛上	爱上	ai4 shang4
礙事	碍事	ai4 shi4
礙手礙腳	碍手碍脚	ai4 shou3 ai4 jiao3
愛屋及烏	爱屋及乌	ai4 wu1 ji2 wu1
愛之欲其生，惡之欲其死	爱之欲其生，恶之欲其死	ai4 zhi1 yu4 qi2 sheng1 e4 zhi1 yu4 qi2 si3
艾滋病	艾滋病	ai4 zi1 bing4
安保	安保	an1 bao3
氨苯磺胺	氨苯磺胺	an1 ben3 huang2 an4
安步當車	安步当车	an1 bu4 dang4 che1
氨草酸	氨草酸	an1 cao3 suan1
氨茶鹼	氨茶硷	an1 cha2 jian3
鵪鶉	鹌鹑	an1 chun2
安撫	安抚	an1 fu3
氨合	氨合	an1 he2
氨合成法	氨合成法	an1 he2 cheng2 fa3
氨合物	氨合物	an1 he2 wu4
氨化	氨化	an1 hua4
氨化過磷酸鈣	氨化过磷酸钙	an1 hua4 guo4 lin2 suan1 gai4
氨化作用	氨化作用	an1 hua4 zuo4 yong4
氨基	氨基	an1 ji1
氨基苯	氨基苯	an1 ji1 ben3
氨基吡啶	氨基吡啶	an1 ji1 bi3 ding4
氨基比林	氨基比林	an1 ji1 bi3 lin2
氨基醇	氨基醇	an1 ji1 chun2
氨基多肽酶	氨基多肽酶	an1 ji1 duo1 tai4 mei2
氨基二苯胺	氨基二苯胺	an1 ji1 er4 ben3 an4
氨基合成酶	氨基合成酶	an1 ji1 he2 cheng2 mei2
氨基硫酸	氨基硫酸	an1 ji1 liu2 suan1
氨基噻唑	氨基噻唑	an1 ji1 sai1 zuo4
氨基樹脂	氨基树脂	an1 ji1 shu4 zhi1
氨基塑料	氨基塑料	an1 ji1 su4 liao4
氨基酸	氨基酸	an1 ji1 suan1
氨基酸定年術	氨基酸定年术	an1 ji1 suan1 ding4 nian2 shu4
氨基酸尿	氨基酸尿	an1 ji1 suan1 niao4
氨基酸尿症	氨基酸尿症	an1 ji1 suan1 niao4 zheng4
氨基酸型糖尿病	氨基酸型糖尿病	an1 ji1 suan1 xing2 tang2 niao4 bing4
氨基糖	氨基糖	an1 ji1 tang2
氨基酮	氨基酮	an1 ji1 tong2
氨基纖維素	氨基纤维素	an1 ji1 xian1 wei2 su4
氨基脂	氨基脂	an1 ji1 zhi1
安家立業	安家立业	an1 jia1 li4 ye4
氨鹼法	氨硷法	an1 jian3 fa3
氨解	氨解	an1 jie3
安靜	安静	an1 jing4
安居樂業	安居乐业	an1 ju1 le4 ye4
安樂死	安乐死	an1 le4 si3
氨冷凍	氨冷冻	an1 leng3 dong4
氨冷凍機	氨冷冻机	an1 leng3 dong4 ji1
氨硫脲	氨硫脲	an1 liu2 niao4
氨倫	氨伦	an1 lun2
氨絡	氨络	an1 luo4
氨絡物	氨络物	an1 luo4 wu4
安眠藥	安眠药	an1 mian2 yao4
安寧	安宁	an1 ning2
安排	安排	an1 pai2
氨氣	氨气	an1 qi4
氨氣壓縮機	氨气压缩机	an1 qi4 ya1 suo1 ji1
氨氣壓縮冷凍機	氨气压缩冷冻机	an1 qi4 ya1 suo1 leng3 dong4 ji1
安全	安全	an1 quan2
安全帶	安全带	an1 quan2 dai4
安全島	安全岛	an1 quan2 dao3
安全感	安全感	an1 quan2 gan3
安全帽	安全帽	an1 quan2 mao4
安全套	安全套	an1 quan2 tao4
安全性	安全性	an1 quan2 xing4
安上	安上	an1 shang4
桉樹	桉树	an1 shu4
氨水	氨水	an1 shui3
庵堂	庵堂	an1 tang2
安慰	安慰	an1 wei4
安息	安息	an1 xi1
安祥	安祥	an1 xiang2
安心	安心	an1 xin1
安心長眠	安心长眠	an1 xin1 chang2 mian2
安逸	安逸	an1 yi4
安營紮寨	安营扎寨	an1 ying2 zha1 zhai4
安於現狀	安于现状	an1 yu2 xian4 zhuang4
氨轉化器	氨转化器	an1 zhuan3 hua4 qi4
安裝	安装	an1 zhuang1
鞍子	鞍子	an1 zi5
俺們	俺们	an3 men5
按步就班	按步就班	an4 bu4 jiu4 ban1
按電鈕	按电钮	an4 dian4 niu3
案牘	案牍	an4 du2
胺化	胺化	an4 hua4
胺化劑	胺化剂	an4 hua4 ji4
胺化氧	胺化氧	an4 hua4 yang3
胺基	胺基	an4 ji1
胺基酸	胺基酸	an4 ji1 suan1
案件	案件	an4 jian4
暗箭傷人	暗箭伤人	an4 jian4 shang1 ren2
暗礁	暗礁	an4 jiao1
按勞付酬	按劳付酬	an4 lao2 fu4 chou2
按理	按理	an4 li3
按門鈴	按门铃	an4 men2 ling2
按摩	按摩	an4 mo2
按捺不住	按捺不住	an4 na4 bu4 zhu4
按鈕	按钮	an4 niu3
岸炮	岸炮	an4 pao4
暗切頭	暗切头	an4 qie4 kou3
案情	案情	an4 qing2
胺醛樹脂	胺醛树脂	an4 quan2 shu4 zhi1
岸然道貌	岸然道貌	an4 ran2 dao4 mao4
黯然銷魂	黯然销魂	an4 ran2 xiao1 hun2
按時	按时	an4 shi2
暗示	暗示	an4 shi4
胺酸	胺酸	an4 suan1
胺鹽	胺盐	an4 yan2
暗喻	暗喻	an4 yu4
按章給付	按章给付	an4 zhang1 ji3 fu4
按照	按照	an4 zhao4
暗中	暗中	an4 zhong1
暗中勾結	暗中勾结	an4 zhong1 gou1 jie2
暗中摸索	暗中摸索	an4 zhong1 mo1 suo3
暗中行事	暗中行事	an4 zhong1 xing2 shi4
暗自竊喜	暗自窃喜	an4 zi4 qie4 xi3
案子	案子	an4 zi5
骯髒	肮脏	ang1 zang1
昂貴	昂贵	ang2 gui4
盎司	盎司	ang4 si1
凹凸	凹凸	ao1 tu1
鰲拜	鳌拜	ao2 bai4
獒犬	獒犬	ao2 quan3
鰲頭	鳌头	ao2 tou2
翱翔	翱翔	ao2 xiang2
遨遊	遨游	ao2 you2
傲骨嶙峋	傲骨嶙峋	ao4 gu3 lin2 xun2
懊悔	懊悔	ao4 hui3
拗口	拗口	ao4 kou3
拗口令	拗口令	ao4 kou3 ling4
傲慢	傲慢	ao4 man4
奧妙	奥妙	ao4 miao4
傲視	傲视	ao4 shi4
奧陶紀	奥陶纪	ao4 tao2 ji4
巴巴	巴巴	ba1 ba1
巴巴結結	巴巴结结	ba1 ba5 jie1 jie1
巴不得	巴不得	ba1 bu5 de2
扒車	扒车	ba1 che1
八成	八成	ba1 cheng2
扒帶	扒带	ba1 dai4
扒帶子	扒带子	ba1 dai4 zi5
八點	八点	ba1 dian3
八點半	八点半	ba1 dian3 ban4
八點鐘	八点钟	ba1 dian3 zhong1
巴兒狗	巴儿狗	ba1 er5 gou3
八竿子打不著	八竿子打不着	ba1 gan1 zi5 da3 bu5 zhao2
八卦	八卦	ba1 gua4
疤痕	疤痕	ba1 hen2
芭蕉	芭蕉	ba1 jiao1
芭蕉扇	芭蕉扇	ba1 jiao1 shan4
八角	八角	ba1 jiao3
巴結	巴结	ba1 jie5
扒拉	扒拉	ba1 la5
芭蕾	芭蕾	ba1 lei3
芭蕾舞	芭蕾舞	ba1 lei3 wu3
八面玲瓏	八面玲珑	ba1 mian4 ling2 long2
扒皮	扒皮	ba1 pi2
巴士	巴士	ba1 shi4
扒頭	扒头	ba1 tou5
扒土	扒土	ba1 tu3
巴望	巴望	ba1 wang4
八月	八月	ba1 yue4
八字不合	八字不合	ba1 zi4 bu4 he2
巴子	巴子	ba1 zi5
拔縫	拔缝	ba2 feng4
拔河	拔河	ba2 he2
跋扈	跋扈	ba2 hu4
拔尖	拔尖	ba2 jian1
菝葜	菝葜	ba2 qia1
跋前躓後	跋前踬后	ba2 qian2 zhi4 hou4
拔取	拔取	ba2 qu3
跋山涉水	跋山涉水	ba2 shan1 she4 shui3
跋涉	跋涉	ba2 she4
拔牙	拔牙	ba2 ya2
拔一毛而利天下，不為也	拔一毛而利天下，不为也	ba2 yi4 mao2 er2 li4 tian1 xia4 bu4 wei2 ye3
拔擢	拔擢	ba2 zhuo2
把柄	把柄	ba3 bing3
靶場	靶场	ba3 chang3
把持	把持	ba3 chi2
把持不住	把持不住	ba3 chi2 bu5 zhu4
把馬子	把马子	ba3 ma3 zi5
把妹	把妹	ba3 mei4
